,trace_name,original_trace_name
0,"bucket1$14,:3,:31162",2020zcjbhf_CH.SBUB.
1,"bucket1$91,:3,:30252",2020xrogam_CH.SAYF2.
2,"bucket1$92,:3,:30001",2020xkfddd_CH.SHER.
3,"bucket0$215,:3,:24001",2020xejlib_CH.WGT.
4,"bucket0$273,:3,:24001",2020wrgghl_CH.SALAN.
5,"bucket31$34,:3,:14913",2020wrgghl_CH.EMBD.
6,"bucket31$35,:3,:14767",2020wrgghl_CH.VANNI.
7,"bucket1$140,:3,:30638",2020wrgghl_CH.SZIM.
8,"bucket1$141,:3,:30652",2020wrgghl_CH.SZEK.
9,"bucket0$275,:3,:24307",2020wrgghl_CH.DIX.
10,"bucket0$276,:3,:25188",2020wrgfmo_CH.SIMPL.
11,"bucket0$277,:3,:24001",2020wrgfmo_CH.SALAN.
12,"bucket0$278,:3,:24001",2020wrgfmo_CH.GRYON.
13,"bucket1$143,:3,:30001",2020wrgfmo_CH.SGAK.
14,"bucket31$36,:3,:14902",2020wrgfmo_CH.EMBD.
15,"bucket31$37,:3,:14764",2020wrgfmo_CH.VANNI.
16,"bucket1$146,:3,:30762",2020wrgfmo_CH.SHER.
17,"bucket1$147,:3,:30636",2020wrgfmo_CH.SZIM.
18,"bucket1$148,:3,:30680",2020wrgfmo_CH.SZEK.
19,"bucket0$279,:3,:24315",2020wrgfmo_CH.DIX.
20,"bucket0$281,:3,:24001",2020wrgffd_CH.SALAN.
21,"bucket0$282,:3,:24001",2020wrgffd_CH.GRYON.
22,"bucket31$38,:3,:14901",2020wrgffd_CH.EMBD.
23,"bucket0$283,:3,:24001",2020wrgffd_CH.FULLY.
24,"bucket31$39,:3,:14769",2020wrgffd_CH.VANNI.
25,"bucket1$152,:3,:30735",2020wrgffd_CH.SHER.
26,"bucket1$153,:3,:30640",2020wrgffd_CH.SZIM.
27,"bucket1$154,:3,:30672",2020wrgffd_CH.SZEK.
28,"bucket0$284,:3,:24316",2020wrgffd_CH.DIX.
29,"bucket0$286,:3,:25235",2020wrgezs_CH.ILLEZ.
30,"bucket0$287,:3,:25351",2020wrgezs_CH.SIMPL.
31,"bucket0$290,:3,:25112",2020wrgezs_CH.SALAN.
32,"bucket0$292,:3,:24997",2020wrgezs_CH.GRYON.
33,"bucket31$41,:3,:14908",2020wrgezs_CH.EMBD.
34,"bucket1$160,:3,:30965",2020wrgezs_CH.SARC.
35,"bucket31$42,:3,:14772",2020wrgezs_CH.VANNI.
36,"bucket1$165,:3,:30634",2020wrgezs_CH.SZIM.
37,"bucket1$166,:3,:30001",2020wrgezs_CH.SZEK.
38,"bucket0$295,:3,:24308",2020wrgezs_CH.DIX.
39,"bucket0$342,:3,:25687",2020wmjouo_CH.GIMEL.
40,"bucket0$353,:3,:24001",2020wmhtqw_CH.SGT04.
41,"bucket0$367,:3,:25658",2020wmhtqw_CH.SENIN.
42,"bucket0$368,:3,:25583",2020wmhtqw_CH.DIX.
43,"bucket0$371,:3,:25405",2020wmhtqw_CH.LADOL.
44,"bucket0$374,:3,:25203",2020wmhtqw_CH.GRYON.
