,trace_name,original_trace_name
0,"bucket203$140,:3,:6000",texnet2017flbm_PB02_EV
1,"bucket203$294,:3,:6000",texnet2017fsnd_PB02_EV
2,"bucket204$550,:3,:6000",texnet2017glsh_PECS_EV
3,"bucket203$751,:3,:6000",texnet2017hohx_PB02_EV
4,"bucket209$374,:3,:6000",texnet2017iukw_SN01_EV
5,"bucket204$910,:3,:6000",texnet2017iukw_SN03_EV
6,"bucket209$375,:3,:6000",texnet2017iukw_SN04_EV
7,"bucket205$101,:3,:6000",texnet2017iukw_SN06_EV
8,"bucket209$432,:3,:6000",texnet2017jwoh_PB02_EV
9,"bucket205$611,:3,:6000",texnet2017ktux_SN01_EV
10,"bucket205$613,:3,:6000",texnet2017ktux_SN03_EV
11,"bucket207$131,:3,:6000",texnet2017ktux_SN05_EV
12,"bucket205$614,:3,:6000",texnet2017ktux_SN06_EV
13,"bucket206$410,:3,:6000",texnet2017ozsc_SN02_EV
14,"bucket206$411,:3,:6000",texnet2017ozsc_SN03_EV
15,"bucket206$412,:3,:6000",texnet2017ozsc_SN04_EV
16,"bucket206$413,:3,:6000",texnet2017ozsc_SN05_EV
17,"bucket206$579,:3,:6000",texnet2017plqh_SN01_EV
18,"bucket207$627,:3,:6000",texnet2017plqh_SN02_EV
19,"bucket206$580,:3,:6000",texnet2017plqh_SN03_EV
20,"bucket206$582,:3,:6000",texnet2017plqh_SN05_EV
21,"bucket206$648,:3,:6000",texnet2017pmvl_POST_EV
22,"bucket206$650,:3,:6000",texnet2017pmvl_SN02_EV
23,"bucket206$651,:3,:6000",texnet2017pmvl_SN03_EV
24,"bucket209$646,:3,:6000",texnet2017pmvl_SN05_EV
25,"bucket209$647,:3,:6000",texnet2017pmvl_SN06_EV
26,"bucket206$653,:3,:6000",texnet2017pmvm_SN01_EV
27,"bucket206$654,:3,:6000",texnet2017pmvm_SN03_EV
28,"bucket206$655,:3,:6000",texnet2017pmvm_SN05_EV
29,"bucket207$664,:3,:6000",texnet2017pmvm_SN06_EV
30,"bucket206$741,:3,:6000",texnet2017ptdo_SN01_EV
31,"bucket207$704,:3,:6000",texnet2017ptdo_SN02_EV
32,"bucket209$667,:3,:6000",texnet2017ptdo_SN03_EV
