,trace_name,original_trace_name
0,"bucket1$340,:3,:6000",214A.TA_201705181831_NO
1,"bucket1$992,:3,:6000",319A.AE_201703111042_NO
2,"bucket2$469,:3,:6000",319A.AE_201803111022_NO
3,"bucket2$896,:3,:6000",833A.TA_201612110341_NO
4,"bucket4$434,:3,:6000",A21.CN_20180115135300_NO
5,"bucket4$435,:3,:6000",A21.CN_20180115141400_NO
6,"bucket4$436,:3,:6000",A21.CN_20180115141606_NO
7,"bucket4$444,:3,:6000",A21.CN_20180115145724_NO
8,"bucket5$691,:3,:6000",A61.CN_20180115010630_NO
9,"bucket17$351,:3,:6000",A64.CN_20180115023154_NO
10,"bucket6$439,:3,:6000",AA12.GM_201709132221_NO
11,"bucket6$956,:3,:6000",AA12.GM_201804260704_NO
12,"bucket7$641,:3,:6000",ABKAR.KZ_200709010931_NO
13,"bucket7$1004,:3,:6000",ABKAR.KZ_201307290515_NO
14,"bucket9$583,:3,:6000",ABPO.II_20180116033206_NO
15,"bucket9$860,:3,:6000",ABTX.N4_201808181336_NO
16,"bucket10$776,:3,:6000",AC02.C1_201611200357_NO
17,"bucket19$302,:3,:6000",AC06.C1_20180115130154_NO
18,"bucket12$49,:3,:6000",AC06.C1_20180116163648_NO
19,"bucket12$407,:3,:6000",ACCN.LD_201303301014_NO
20,"bucket12$831,:3,:6000",ACH.AV_201711110257_NO
21,"bucket13$709,:3,:6000",ADK.IU_20180116095336_NO
22,"bucket14$230,:3,:6000",AF01.C1_20180115151330_NO
23,"bucket14$283,:3,:6000",AF01.C1_20180115200606_NO
24,"bucket15$256,:3,:6000",AGG.HT_20180116063530_NO
25,"bucket15$594,:3,:6000",AHB.AV_201810100500_NO
26,"bucket15$612,:3,:6000",AHUD.HV_201105042200_NO
27,"bucket16$39,:3,:6000",AHUD.HV_201309180954_NO
28,"bucket16$63,:3,:6000",AHUD.HV_201311101801_NO
29,"bucket16$76,:3,:6000",AHUD.HV_201311270736_NO
30,"bucket16$105,:3,:6000",AHUD.HV_201401061705_NO
31,"bucket17$930,:3,:6000",AHUD.HV_201511271341_NO
32,"bucket19$918,:3,:6000",AKBB.AV_20180115105224_NO
33,"bucket17$981,:3,:6000",AKH.GO_201205290329_NO
34,"bucket20$1,:3,:6000",AKHS.AV_201808280645_NO
35,"bucket19$1014,:3,:6000",AKHS.AV_201809090809_NO
36,"bucket20$397,:3,:6000",AKS.AV_20180115050348_NO
37,"bucket21$183,:3,:6000",AKSA.AV_20180115000124_NO
38,"bucket23$262,:3,:6000",ALLY.LD_20180115193312_NO
39,"bucket23$297,:3,:6000",ALLY.LD_20180116001524_NO
40,"bucket24$500,:3,:6000",AMKA.AV_20180116103906_NO
41,"bucket24$670,:3,:6000",AMKA.AV_20180116202254_NO
42,"bucket24$802,:3,:6000",ANBD.WI_201511130321_NO
43,"bucket26$51,:3,:6000",ANM.AK_201601290430_NO
44,"bucket28$705,:3,:6000",ANM.AK_201702052028_NO
45,"bucket26$561,:3,:6000",ANNE.AV_20180116012730_NO
46,"bucket30$422,:3,:6000",ANTS.EC_20180116220754_NO
47,"bucket30$708,:3,:6000",AP01.C1_201406072055_NO
48,"bucket30$815,:3,:6000",AP01.C1_201511191911_NO
49,"bucket31$34,:3,:6000",AP01.C1_20180115083800_NO
50,"bucket31$492,:3,:6000",AP01.C1_20180116150424_NO
51,"bucket31$548,:3,:6000",AP01.C1_20180116182518_NO
52,"bucket31$801,:3,:6000",ARG.HL_20180115075930_NO
53,"bucket39$300,:3,:6000",ARK.KR_201406190503_NO
54,"bucket32$107,:3,:6000",ARK.KR_20180115025624_NO
55,"bucket39$330,:3,:6000",ARK1.7F_20100723025500_NO
56,"bucket32$256,:3,:6000",ARK1.7F_20100723030736_NO
57,"bucket32$272,:3,:6000",ARK1.7F_20100723050142_NO
58,"bucket33$215,:3,:6000",ARK1.7F_20100728023154_NO
59,"bucket33$315,:3,:6000",ARK1.7F_20100728153718_NO
60,"bucket33$447,:3,:6000",ARK1.7F_20100729124506_NO
61,"bucket34$148,:3,:6000",ARK2.7F_20100724110830_NO
62,"bucket34$209,:3,:6000",ARK2.7F_20100724210700_NO
63,"bucket34$931,:3,:6000",ARK2.7F_20100728223554_NO
64,"bucket35$146,:3,:6000",ARK2.7F_20100729231506_NO
65,"bucket35$147,:3,:6000",ARK2.7F_20100729232206_NO
66,"bucket35$437,:3,:6000",ARK2.7F_20100731111900_NO
67,"bucket36$31,:3,:6000",ARPS.AU_20180115024512_NO
68,"bucket36$294,:3,:6000",ARU.II_20180115002800_NO
69,"bucket36$506,:3,:6000",AS31.AU_20180115094800_NO
70,"bucket36$623,:3,:6000",AS31.AU_20180116122200_NO
71,"bucket36$754,:3,:6000",ASBU.CC_201303012358_NO
72,"bucket38$732,:3,:6000",ASNY.LD_201708201228_NO
73,"bucket38$908,:3,:6000",ASNY.LD_201804260422_NO
74,"bucket38$927,:3,:6000",ASNY.LD_201805250759_NO
75,"bucket40$140,:3,:6000",ATD.G_20180115041242_NO
76,"bucket40$175,:3,:6000",ATD.G_20180115084130_NO
77,"bucket40$621,:3,:6000",AU22.AV_201507120232_NO
78,"bucket41$286,:3,:6000",AUCH.AV_20180115084006_NO
79,"bucket41$935,:3,:6000",AY02.C1_20180116033000_NO
80,"bucket42$1006,:3,:6000",B045.PB_201311171952_NO
81,"bucket43$3,:3,:6000",B046.PB_200811291403_NO
82,"bucket44$72,:3,:6000",B058.PB_200904041010_NO
83,"bucket44$226,:3,:6000",B058.PB_201502072319_NO
84,"bucket49$514,:3,:6000",B066.PB_201703281426_NO
85,"bucket44$654,:3,:6000",B067.PB_201010152323_NO
86,"bucket44$713,:3,:6000",B067.PB_201206192319_NO
87,"bucket57$283,:3,:6000",B067.PB_201206272042_NO
88,"bucket44$721,:3,:6000",B067.PB_201209241434_NO
89,"bucket49$541,:3,:6000",B072.PB_200806071623_NO
90,"bucket45$66,:3,:6000",B072.PB_201502252035_NO
91,"bucket45$897,:3,:6000",B076.PB_201501032038_NO
92,"bucket46$25,:3,:6000",B078.PB_200911022357_NO
93,"bucket57$376,:3,:6000",B078.PB_201609021025_NO
94,"bucket46$497,:3,:6000",B082.PB_201209220034_NO
95,"bucket46$555,:3,:6000",B082.PB_201707231232_NO
96,"bucket47$41,:3,:6000",B900.PB_201506170425_NO
97,"bucket47$534,:3,:6000",B932.PB_201406030356_NO
98,"bucket50$391,:3,:6000",BBGB.NC_201801060925_NO
99,"bucket50$564,:3,:6000",BBR.CI_20180115072924_NO
100,"bucket50$846,:3,:6000",BCI.AC_20180115061430_NO
101,"bucket57$620,:3,:6000",BCRT.ET_20180115183506_NO
102,"bucket51$306,:3,:6000",BCRT.ET_20180115185112_NO
103,"bucket51$930,:3,:6000",BEL.CI_20180115134848_NO
104,"bucket59$343,:3,:6000",BILL.IU_20180115091054_NO
105,"bucket53$264,:3,:6000",BL67.BK_201405010411_NO
106,"bucket53$620,:3,:6000",BLDY.AV_20180115000948_NO
