,trace_name,original_index
0,"bucket4$6,:3,:15001",60
1,"bucket1$26,:3,:15001",311
2,"bucket9$42,:3,:15001",508
3,"bucket10$63,:3,:15001",685
4,"bucket4$89,:3,:15001",713
5,"bucket8$90,:3,:15001",899
6,"bucket1$103,:3,:15001",1024
7,"bucket8$107,:3,:15001",1099
8,"bucket6$111,:3,:15001",1141
9,"bucket5$112,:3,:15001",1162
10,"bucket2$107,:3,:15001",1183
11,"bucket2$108,:3,:15001",1185
12,"bucket9$121,:3,:15001",1207
13,"bucket1$120,:3,:15001",1221
14,"bucket2$113,:3,:15001",1222
15,"bucket7$129,:3,:15001",1246
16,"bucket1$133,:3,:15001",1375
17,"bucket5$141,:3,:15001",1439
18,"bucket9$141,:3,:15001",1459
19,"bucket2$140,:3,:15001",1485
20,"bucket10$150,:3,:15001",1537
21,"bucket3$177,:3,:15001",1614
22,"bucket9$158,:3,:15001",1615
23,"bucket6$174,:3,:15001",1711
24,"bucket9$172,:3,:15001",1747
25,"bucket10$162,:3,:15001",1748
26,"bucket3$201,:3,:15001",1830
27,"bucket6$188,:3,:15001",1831
28,"bucket8$170,:3,:15001",1904
29,"bucket3$270,:3,:15001",2452
30,"bucket8$223,:3,:15001",2458
31,"bucket6$254,:3,:15001",2464
32,"bucket9$293,:3,:15001",2656
33,"bucket3$295,:3,:15001",2671
34,"bucket4$293,:3,:15001",2718
35,"bucket2$257,:3,:15001",2761
36,"bucket5$276,:3,:15001",2763
37,"bucket7$263,:3,:15001",2767
38,"bucket6$289,:3,:15001",2769
39,"bucket10$252,:3,:15001",2770
40,"bucket3$306,:3,:15001",2773
41,"bucket6$292,:3,:15001",2775
42,"bucket5$277,:3,:15001",2776
43,"bucket3$307,:3,:15001",2788
44,"bucket6$297,:3,:15001",2794
45,"bucket1$285,:3,:15001",2859
46,"bucket5$301,:3,:15001",2948
47,"bucket4$327,:3,:15001",3077
48,"bucket7$289,:3,:15001",3078
49,"bucket4$347,:3,:15001",3199
50,"bucket8$297,:3,:15001",3221
51,"bucket6$339,:3,:15001",3224
52,"bucket1$330,:3,:15001",3294
53,"bucket7$307,:3,:15001",3303
54,"bucket4$397,:3,:15001",3765
55,"bucket8$374,:3,:15001",3979
56,"bucket3$417,:3,:15001",4018
57,"bucket4$427,:3,:15001",4019
58,"bucket1$398,:3,:15001",4021
59,"bucket8$380,:3,:15001",4023
60,"bucket8$387,:3,:15001",4108
61,"bucket2$405,:3,:15001",4316
62,"bucket4$447,:3,:15001",4317
63,"bucket7$412,:3,:15001",4318
64,"bucket8$427,:3,:15001",4544
65,"bucket1$456,:3,:15001",4675
66,"bucket4$497,:3,:15001",4820
67,"bucket7$483,:3,:15001",5054
68,"bucket9$556,:3,:15001",5055
