,trace_name,original_trace_name
0,"bucket21$350,:3,:6000",AKSA.AV_20180116000000_NO
1,"bucket22$784,:3,:6000",ALEP.HV_20180116003624_NO
2,"bucket29$372,:3,:6000",ANPK.AV_20180116004736_NO
3,"bucket29$989,:3,:6000",ANTS.EC_20180116064106_NO
4,"bucket29$1007,:3,:6000",ANTS.EC_20180116072554_NO
5,"bucket30$136,:3,:6000",ANTS.EC_20180116120142_NO
6,"bucket30$182,:3,:6000",ANTS.EC_20180116133406_NO
7,"bucket39$76,:3,:6000",ANTS.EC_20180116142100_NO
8,"bucket30$249,:3,:6000",ANTS.EC_20180116153800_NO
9,"bucket30$315,:3,:6000",ANTS.EC_20180116180706_NO
10,"bucket37$561,:3,:6000",ANTS.EC_20180116182230_NO
11,"bucket30$374,:3,:6000",ANTS.EC_20180116200812_NO
12,"bucket41$683,:3,:6000",AUWS.AV_20180115184906_NO
13,"bucket54$582,:3,:6000",BO03.C1_20180115085900_NO
14,"bucket59$555,:3,:6000",BO04.C1_20180115043054_NO
15,"bucket54$938,:3,:6000",BORG.II_20180115182436_NO
16,"bucket54$982,:3,:6000",BOSA.GT_20180115155118_NO
17,"bucket59$775,:3,:6000",BRNY.LD_20180115043342_NO
18,"bucket60$163,:3,:6000",BZN.AZ_20180115030242_NO
19,"bucket62$485,:3,:6000",CAN.G_20180116050430_NO
20,"bucket68$679,:3,:6000",CERB.AV_20180115002100_NO
21,"bucket66$458,:3,:6000",CHF.CI_20180115212718_NO
22,"bucket67$879,:3,:6000",CIA.CI_20180115022330_NO
23,"bucket79$300,:3,:6000",CO05.C1_20180115022330_NO
24,"bucket72$841,:3,:6000",COEN.AU_20180115031354_NO
25,"bucket72$846,:3,:6000",COEN.AU_20180115032424_NO
26,"bucket72$900,:3,:6000",COEN.AU_20180115051500_NO
27,"bucket72$996,:3,:6000",COHC.EC_20180115033906_NO
28,"bucket73$5,:3,:6000",COHC.EC_20180115054300_NO
29,"bucket79$369,:3,:6000",COHC.EC_20180115071442_NO
30,"bucket73$524,:3,:6000",CORI.CA_20180116132130_NO
31,"bucket73$542,:3,:6000",CORI.CA_20180116233400_NO
32,"bucket74$612,:3,:6000",CRAG.AT_20180115033906_NO
33,"bucket76$170,:3,:6000",CSOR.CA_20180115115318_NO
34,"bucket77$932,:3,:6000",CTA.AU_20180115074530_NO
35,"bucket80$712,:3,:6000",CWC.CI_20180115052900_NO
36,"bucket98$126,:3,:6000",DAVE.5H_20180115000000_NO
37,"bucket88$531,:3,:6000",DJJ.CI_20180115032136_NO
38,"bucket84$356,:3,:6000",DJJ.CI_20180115091754_NO
39,"bucket84$853,:3,:6000",DRV.G_20180115004654_NO
40,"bucket88$592,:3,:6000",DRV.G_20180115004736_NO
41,"bucket84$859,:3,:6000",DRV.G_20180115005642_NO
42,"bucket84$918,:3,:6000",DRV.G_20180115032424_NO
43,"bucket88$912,:3,:6000",EYAK.AK_20180115032754_NO
44,"bucket87$797,:3,:6000",FALS.AK_20180115042436_NO
