,trace_name,original_trace_name
0,"bucket234$709,:3,:6000",AGG.HT_20090330120835_EV
1,"bucket241$692,:3,:6000",AHUD.HV_20180729051410_EV
2,"bucket243$4,:3,:6000",AIND.HV_20161128170826_EV
3,"bucket243$391,:3,:6000",AIND.HV_20170430172614_EV
4,"bucket243$501,:3,:6000",AIND.HV_20170608193341_EV
5,"bucket243$982,:3,:6000",AIND.HV_20180101215456_EV
6,"bucket250$474,:3,:6000",ALEP.HV_20170512033116_EV
7,"bucket308$337,:3,:6000",B081.PB_20110901231612_EV
8,"bucket304$39,:3,:6000",B081.PB_20111206074909_EV
9,"bucket304$523,:3,:6000",B081.PB_20120212093652_EV
10,"bucket337$633,:3,:6000",B082.PB_20121105020200_EV
11,"bucket341$528,:3,:6000",B082.PB_20131005090134_EV
12,"bucket341$771,:3,:6000",B082.PB_20131024023340_EV
13,"bucket353$162,:3,:6000",B082.PB_20160610213607_EV
14,"bucket363$450,:3,:6000",B082.PB_20180701034643_EV
15,"bucket390$512,:3,:6000",B084.PB_20160110161547_EV
16,"bucket397$336,:3,:6000",B084.PB_20160610083721_EV
17,"bucket405$520,:3,:6000",B086.PB_20110120123549_EV
18,"bucket405$967,:3,:6000",B086.PB_20110607043901_EV
19,"bucket413$739,:3,:6000",B086.PB_20151109091223_EV
20,"bucket420$654,:3,:6000",B087.PB_20080905054509_EV
21,"bucket430$225,:3,:6000",B087.PB_20130410124319_EV
22,"bucket434$487,:3,:6000",B087.PB_20160202030431_EV
23,"bucket510$9,:3,:6000",B945.PB_20180222153507_EV
24,"bucket516$12,:3,:6000",BARN.AK_20180429070559_EV
25,"bucket516$88,:3,:6000",BATM.GO_20130525113559_EV
26,"bucket529$417,:3,:6000",BC3.CI_20130106081944_EV
27,"bucket540$818,:3,:6000",BJOB.NC_20120105051522_EV
28,"bucket549$150,:3,:6000",BKZ.NZ_20141119044236_EV
29,"bucket545$96,:3,:6000",BO02.C1_20150318191210_EV
30,"bucket552$465,:3,:6000",BPAW.AK_20121127205510_EV
31,"bucket552$604,:3,:6000",BPAW.AK_20131027063849_EV
32,"bucket558$859,:3,:6000",BRLK.AK_20121105145815_EV
33,"bucket562$494,:3,:6000",BRSE.AK_20161228120827_EV
34,"bucket562$542,:3,:6000",BRSE.AK_20170120045131_EV
35,"bucket562$633,:3,:6000",BRSE.AK_20170311203354_EV
36,"bucket567$862,:3,:6000",BTW.SN_20170424193655_EV
37,"bucket570$66,:3,:6000",BWN.AK_20130923092151_EV
38,"bucket580$936,:3,:6000",CAPN.AK_20140402214801_EV
39,"bucket581$336,:3,:6000",CAST.AK_20111210164453_EV
40,"bucket581$682,:3,:6000",CAST.AK_20120209233508_EV
41,"bucket597$104,:3,:6000",CAST.AK_20120219180125_EV
42,"bucket583$120,:3,:6000",CAST.AK_20121005133356_EV
43,"bucket585$30,:3,:6000",CAST.AK_20170916004522_EV
